Symbol,Label
img0.png,1
img1.png,2
img2.png,3
img3.png,4
img4.png,5
img5.png,1
img6.png,2
img7.png,3
img8.png,4
img9.png,5
img10.png,1
img11.png,2
img12.png,3
img13.png,4
img14.png,5
img15.png,1
img16.png,2
img17.png,3
img18.png,4
img19.png,5
img20.png,1
img21.png,2
img22.png,3
img23.png,4
img24.png,5
img25.png,1
img26.png,2
img27.png,3
img28.png,4
img29.png,5
img30.png,1
img31.png,2
img32.png,3
img33.png,4
img34.png,5
img35.png,1
img36.png,2
img37.png,3
img38.png,4
img39.png,5
img40.png,1
img41.png,2
img42.png,3
img43.png,4
img44.png,5
img45.png,1
img46.png,2
img47.png,3
img48.png,4
img49.png,5
